body,post_url,date,tags
"For Earth Day, try this eco-friendly life hack",http://peacecorps.tumblr.com/post/159837300322/for-earth-day-try-this-eco-friendly-life-hack,2017-04-21 20:39:01 GMT,"['diy', 'lifehack', 'lifehacker', 'snack', 'peacecorps', 'earthday', 'earthday2017', 'earthday17']"
TOT: Closing Ceremony,http://peacecorps.tumblr.com/post/154812767552/tot-closing-ceremony,2016-12-22 17:49:52 GMT,[]
Food Friday: Coconut Bean Stew (Tanzania),http://peacecorps.tumblr.com/post/152431726554/food-friday-coconut-bean-stew-tanzania,2016-10-28 18:24:30 GMT,"['cooking', 'recipe', 'food', 'tanzania', 'peace corps', 'peace corps tanzania', 'peace corps volunteer', 'peace corps life']"
When you’re heading out on site visits and you have an entourage,http://peacecorps.tumblr.com/post/152417388291/when-youre-heading-out-on-site-visits-and-you,2016-10-28 08:48:17 GMT,"['peace corps', 'peace corps micronesia', 'peace corps palau', 'micronesia', 'palau', 'peace corps volunteer', 'peace corps life']"
"Happy 20th anniversary, Peace Corps Macedonia! 🇲🇰",http://peacecorps.tumblr.com/post/152388610406/happy-20th-anniversary-peace-corps-macedonia,2016-10-27 18:24:15 GMT,"['peace corps', 'macedonia', 'peace corps macedonia', 'peace corps volunteer', 'peace corps life']"
Happy National Pumpkin Day!,http://peacecorps.tumblr.com/post/152344515920/happy-national-pumpkin-day,2016-10-26 18:24:29 GMT,"['national pumpkin day', 'peace corps', 'indonesia', 'pumpkins', 'peace corps indonesia', 'peace corps volunteer', 'peace corps life']"
The corner office can wait. Some corners of the world can't.,http://peacecorps.tumblr.com/post/152210572321/the-corner-office-can-wait-some-corners-of-the,2016-10-23 18:24:07 GMT,"['peace corps', 'peace corps volunteer', 'health', 'global health', 'peace corps life', 'join the peace corps']"
Food Friday: Amiwo (Benin),http://peacecorps.tumblr.com/post/152132077699/food-friday-amiwo-benin,2016-10-21 23:12:30 GMT,"['peace corps', 'benin', 'peace corps benin', 'cooking', 'food', 'recipe', 'peace corps volunteer', 'peace corps life']"
Gardening,http://peacecorps.tumblr.com/post/152068662264/gardening,2016-10-20 13:36:21 GMT,"['peace corps', 'peace corps nicaragua', 'nicaragua', 'gardening', 'agriculture', 'peace corps volunteer', 'peace corps life']"
Hello from Camp StartUp Uganda!,http://peacecorps.tumblr.com/post/152062461154/hello-from-camp-startup-uganda,2016-10-20 08:48:10 GMT,"['entrepreneurship', 'peace corps', 'peace corps uganda', 'uganda', 'peace corps volunteer', 'peace corps life']"
Mythbuster Monday,http://peacecorps.tumblr.com/post/151940965469/mythbuster-monday,2016-10-17 18:24:05 GMT,"['peace corps', 'let girls learn', ""girls' empowerment"", 'peace corps volunteer', 'peace corps life']"
Today is World Food Day,http://peacecorps.tumblr.com/post/151882332225/today-is-world-food-day,2016-10-16 13:36:12 GMT,"['world food day', 'food security', 'peace corps', 'end hunger', 'peace corps volunteer', 'peace corps life', 'nutrition', 'agriculture']"
Today is Global Handwashing Day,http://peacecorps.tumblr.com/post/151836448451/today-is-global-handwashing-day,2016-10-15 13:36:26 GMT,"['peace corps', 'global handwashing day', 'health', 'hygiene', 'peace corps volunteer', 'peace corps life']"
The Peace Car is coming to HBCUs,http://peacecorps.tumblr.com/post/151758294331/the-peace-car-is-coming-to-hbcus,2016-10-13 18:24:14 GMT,"['peace corps', 'peace car', 'hbcu', 'join the peace corps']"
31 new Peace Corps Madagascar Volunteers swore in last week,http://peacecorps.tumblr.com/post/151749142294/31-new-peace-corps-madagascar-volunteers-swore-in,2016-10-13 13:36:10 GMT,"['peace corps', 'madagascar', 'peace corps madagascar', 'peace corps volunteer', 'peace corps life', 'tefl', 'teaching english']"
Today is International Day of the Girl,http://peacecorps.tumblr.com/post/151659150902/today-is-international-day-of-the-girl,2016-10-11 14:04:22 GMT,"['international day of the girl', 'let girls learn', 'peace corps', ""girls' education""]"
Guatemala is...,http://peacecorps.tumblr.com/post/151560307946/guatemala-is,2016-10-09 13:36:06 GMT,"['peace corps', 'guatemala', 'peace corps guatemala', 'peace corps volunteer', 'peace corps life']"
Happy World Smile Day!,http://peacecorps.tumblr.com/post/151469810083/happy-world-smile-day,2016-10-07 13:36:30 GMT,"['world smile day', 'peace corps', 'peace corps volunteer', 'peace corps life', 'travel', 'explore the world']"
"Handwriting, a poem by a returned Volunteer",http://peacecorps.tumblr.com/post/151434587423/handwriting-a-poem-by-a-returned-volunteer,2016-10-06 18:24:18 GMT,"['national poetry day', 'poetry', 'poem', 'peace corps', 'peace corps the gambia', 'peace corps volunteer', 'returned peace corps volunteer', 'peace corps life']"
"Days Like These, a poem by a Volunteer",http://peacecorps.tumblr.com/post/151429421477/days-like-these-a-poem-by-a-volunteer,2016-10-06 15:52:50 GMT,"['national poetry day', 'poetry', 'poem', 'peace corps', 'peace corps nepal', 'peace corps volunteer', 'peace corps life']"
